,Date Of Upload,Author,Vertical,Headline,Description
122,"August 01, 2015 00:00 IST",Special Correspondent,Andhra Pradesh,Over 120 start-ups take roots in A.P.,IT Minister to inaugurate incubation tower in Tirupati on Aug. 5
123,"August 01, 2015 00:00 IST",Staff Reporter,Andhra Pradesh,Panel identifies lapses in campus hostels,To submit report to State government by tomorrow
124,"August 01, 2015 00:00 IST",Staff Reporter,Andhra Pradesh,Anam brothers likely to join YSRC,No Description
125,"August 01, 2015 00:00 IST",Special Correspondent,Andhra Pradesh,Deadlock over relieved status of power employees continues,No Description
126,"August 01, 2015 00:00 IST",Special Correspondent,Andhra Pradesh,"Reinstate staff, says JAC",No Description
127,"August 01, 2015 00:00 IST","KURNOOL:,",Andhra Pradesh,Encroachment of Wakf land,Violators to face severe action: Minority Commission
128,"August 01, 2015 00:00 IST",M. Rajeev,Andhra Pradesh,Denial of special status jolts A.P.,No Description
129,"August 01, 2015 00:00 IST",Staff Reporter,Andhra Pradesh,Man booked under Nirbhaya Act,No Description
130,"August 01, 2015 00:00 IST",Special Correspondent,Andhra Pradesh,"Boat capsizes, 7 fishermen reach shore safely",No Description
131,"August 01, 2015 00:00 IST",Special Correspondent,Andhra Pradesh,Maruti eyes annual sales of 2 million by 2020,No Description
132,"August 01, 2015 00:00 IST",K. Umashanker,Andhra Pradesh,Dengue claims two lives in a week,Number of cases cross 500 mark in Chittoor district
133,"August 01, 2015 00:00 IST",Special Correspondent,Andhra Pradesh,Rs. 200 cr. released for Pattiseema lift project,No Description
134,"August 01, 2015 00:00 IST",Staff Reporter,Andhra Pradesh,‘Chalk out action plan to increase milk production’,No Description
135,"August 01, 2015 00:00 IST",Special Correspondent,Andhra Pradesh,Row over removal of YSR’s portrait,No Description
136,"August 01, 2015 00:00 IST",T. Appala Naidu,Andhra Pradesh,Masula scientists develop saline tolerant paddy seed,No Description
137,"August 01, 2015 00:00 IST",Staff Reporter,Andhra Pradesh,Judicial remand of accused extended,No Description
138,"August 01, 2015 00:00 IST",Staff Reporter,Andhra Pradesh,‘Upgrade municipal high school as junior college’,No Description
139,"August 01, 2015 00:00 IST",Staff Reporter,Andhra Pradesh,ANU to reopen on August 4,No Description
140,"August 01, 2015 00:00 IST",Staff Reporter,Andhra Pradesh,Senior officials meet probe panel,No Description
141,"March 29, 2016 12:29 IST","August 01, 2015 00:00 IST",Andhra Pradesh,Negligence of health officials alleged,No Description
142,"August 01, 2015 00:00 IST",Staff Reporter,Andhra Pradesh,Call for efforts to end human trafficking,No Description
143,"August 01, 2015 00:00 IST",Staff Reporter,Andhra Pradesh,Wearing helmet compulsory from today,No Description
144,"August 01, 2015 00:00 IST","Ongole:,",Andhra Pradesh,US medical team organises camp,No Description
145,"August 01, 2015 00:00 IST",Special Correspondent,Andhra Pradesh,Farmers agree to give lands for Nippulavagu canal works,No Description
146,"August 01, 2015 00:00 IST",Staff Reporter,Andhra Pradesh,Fervour marks Guru Purnima,No Description
147,"August 01, 2015 19:37 IST",Imran Gowhar,Karnataka,Conmen steal Rs. 3 lakh from a car near Marathahalli,No Description
148,"August 01, 2015 18:35 IST","RAICHUR:,",Karnataka,A strike of bullock-cart proportions,Farmers with bullock carts block inter-State highway in Raichur
149,"August 01, 2015 16:32 IST",Staff Correspondent,Karnataka,Leopard carcass found,No Description
150,"August 01, 2015 16:05 IST","HUBBALLI:,",Karnataka,Visiting Dudhsagar falls? Trekking along the rail route may be a bad idea,"Railways says no halt has been provided, warns tourists against trekking along rail track"
151,"August 01, 2015 15:40 IST",Nagesh Prabhu,Karnataka,Bill to allow fixing price for Bt cotton seeds,No Description
152,"August 01, 2015 15:39 IST",Nagesh Prabhu,Karnataka,Income limit to purchase farmland raised to Rs. 25 lakh,No Description
153,"August 01, 2015 15:39 IST",Vishwa Kundapura,Karnataka,Sites sought for landless in Kolar,"DYFI, JMS to gherao CMC office on August 7"
154,"August 01, 2015 15:38 IST",Nagesh Prabhu,Karnataka,No ‘milk holidays’ in State,No Description
155,"August 01, 2015 15:38 IST",Special Correspondent,Karnataka,Karnataka Assembly adjourned sine die,No Description
156,"August 01, 2015 14:57 IST",Girish Pattanashetti,Karnataka,Auto fare meters: more time sought for calibration,Protesting drivers seek withdrawal of order on six children per trip
157,"August 01, 2015 14:32 IST",Laiqh A. Khan,Karnataka,Gang of car thieves arrested in Mysuru,No Description
158,"August 01, 2015 14:32 IST","MANGALURU,",Karnataka,Energise government buildings with solar power: Kateel,No Description
159,"August 01, 2015 14:29 IST",Anil Kumar Sastry,Karnataka,Shiradi Ghat unlikely to be opened shortly,No Description
160,"August 01, 2015 14:22 IST",Vijaykumar Patil,Karnataka,Farmer commits suicide,No Description
161,"August 01, 2015 13:33 IST",Firoz Rozindar,Karnataka,Helping lemon growers get their due,No Description
